id,description,summary,category,urgency
REC0001,Écran noir au démarrage de mon PC HP LaserJet Pro. La connexion se coupe toutes les 5 minutes. Parfois après plusieurs tentatives de redémarrage l'écran finit par s'allumer. Le problème est apparu il y a une semaine et devient de plus en plus fréquent.,Problème technique sur Hardware diagnostic nécessaire.,Hardware,High
REC0002,Problème de connexion WiFi sur mon Pavilion. La connexion se coupe toutes les 5 minutes. J'ai essayé de redémarré l'appareil mais le problème persiste. Les autres appareils fonctionnent normalement.,Problème de connexion réseau coupures fréquentes.,Software,Low
REC0003,Mon imprimante OfficeJet Pro affiche un message d'erreur E3 depuis ce matin. J'ai vérifié les cartouches d'encre et elles sont pleines. Le manuel ne mentionne pas ce code d'erreur. L'imprimante a 8 mois.,Message d'erreur E3 non documenté cartouches vérifiées.,Printer,Medium
REC0004,Le ventilateur de mon EliteBook 840 fait un bruit anormal depuis hier. Il tourne en permanence même quand l'ordinateur est au repos. La température semble normale. L'appareil a 1 an et demi.,Ventilateur bruyant fonctionnement continu température normale.,Hardware,High
REC0005,Impossible d'imprimer en couleur sur mon LaserJet Pro. L'impression noir et blanc fonctionne correctement. J'ai nettoyé les têtes d'impression mais sans résultat. Les cartouches couleur sont neuves.,Impression couleur défaillante noir et blanc fonctionnel.,Printer,Medium
REC0006,Mon ZBook redémarre aléatoirement sans message d'erreur. Cela arrive 2 à 3 fois par jour. J'ai vérifié les mises à jour Windows et tout est à jour. Le problème a commencé après la dernière mise à jour.,Redémarrages aléatoires sans erreur post mise à jour.,Software,Critical
REC0007,Le trackpad de mon ProBook 450 ne répond plus aux gestes multi-touch. Le clic simple fonctionne mais pas le défilement à deux doigts. J'ai réinstallé les pilotes sans succès. Garantie active.,Trackpad gestes multi-touch non fonctionnels pilotes réinstallés.,Hardware,Low
REC0008,Mon imprimante Pavilion imprime des pages blanches alors que les cartouches sont pleines. J'ai lancé plusieurs cycles de nettoyage. Le test d'impression interne fonctionne correctement. Appareil de 6 mois.,Pages blanches imprimées cartouches pleines test interne OK.,Printer,High
REC0009,Connexion Bluetooth instable sur mon EliteBook. Les périphériques se déconnectent toutes les 10 minutes. J'ai testé avec plusieurs appareils différents même problème. Drivers à jour.,Bluetooth instable déconnexions fréquentes drivers à jour.,Network,Medium
REC0010,L'écran de mon OfficeJet Pro affiche des lignes horizontales. L'affichage est partiellement illisible. J'ai redémarré l'imprimante plusieurs fois. Le problème persiste. Garantie expirée il y a 2 mois.,Écran avec lignes horizontales affichage illisible.,Printer,Low
REC0011,Mon PC HP ne détecte plus le disque dur externe USB. J'ai testé sur d'autres ports USB même problème. Le disque fonctionne sur un autre ordinateur. Tous les ports USB semblent affectés.,Ports USB ne détectent pas disque externe testé fonctionnel ailleurs.,Hardware,High
REC0012,Le scanner de mon LaserJet Pro produit des images floues. J'ai nettoyé la vitre du scanner. La qualité d'impression est normale. Le problème affecte uniquement le scan. Appareil de 1 an.,Scanner images floues vitre nettoyée impression normale.,Printer,Medium
REC0013,Mon ZBook surchauffe rapidement même pour des tâches simples. Le ventilateur tourne à plein régime. J'ai nettoyé les grilles d'aération. La température atteint 85°C au repos.,Surchauffe importante ventilateur à fond grilles nettoyées.,Hardware,Critical
REC0014,Impossible de se connecter au réseau d'entreprise avec mon ProBook. Le WiFi domestique fonctionne normalement. J'ai vérifié les paramètres réseau ils sont corrects. Problème depuis 3 jours.,Connexion réseau entreprise impossible WiFi domestique OK.,Network,High
